Kasus Harian,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
7-Jun-21,130,36,100,68,35,253,1197,126,1790,1451,301,,40,90,9,5,151,60,126,239,1,99,5,31,8,119,313,7,25,1,,,177,
8-Jun-21,157,36,142,113,26,237,755,148,1073,1489,389,95,90,127,17,9,218,72,122,141,7,95,7,98,53,103,345,13,,16,16,1,84,
9-Jun-21,226,37,103,108,24,304,1376,136,1562,1457,401,158,84,67,28,8,407,49,152,259,10,93,5,66,7,112,402,8,5,6,20,13,26,6
10-Jun-21,247,61,188,89,33,455,2091,132,1334,1535,425,149,108,106,102,20,307,37,154,353,10,211,19,45,14,97,438,8,5,2,34,5,63,15
11-Jun-21,284,46,214,97,64,417,2293,91,1302,1026,441,144,78,66,34,10,300,20,128,278,14,115,8,32,10,89,387,6,27,15,30,2,10,5
12-Jun-21,108,22,214,57,43,436,2455,145,876,915,358,146,78,120,23,7,282,20,184,232,,99,6,36,8,96,388,10,1,13,20,13,50,4
13-Jun-21,159,44,198,43,103,466,2769,133,1242,2579,418,136,109,97,29,33,215,10,144,267,2,73,8,17,9,113,322,13,31,14,8,,60,4
14-Jun-21,166,48,255,44,15,428,2722,104,1532,1400,403,,62,46,13,5,120,6,88,111,22,193,3,8,7,128,163,8,3,10,4,2,70,
15-Jun-21,155,55,141,75,34,438,1502,128,1793,1658,499,114,133,95,21,26,219,43,152,154,19,120,11,41,11,109,311,26,16,15,11,4,12,18
16-Jun-21,133,67,157,91,49,534,2376,124,2599,1251,702,121,145,94,57,17,351,5,138,214,,136,11,32,16,62,326,8,43,30,4,2,49,2
17-Jun-21,140,65,168,92,30,595,4144,132,2800,1752,722,144,177,85,93,36,307,17,121,188,17,162,11,62,23,92,331,7,24,44,28,6,9,
18-Jun-21,150,95,249,73,70,592,4737,157,2791,1331,731,140,145,119,28,53,278,23,135,241,16,137,41,63,22,88,353,28,,41,11,4,20,28
19-Jun-21,116,155,278,81,81,638,4895,146,2104,1877,693,147,152,88,48,13,341,39,119,135,19,122,22,67,39,117,284,16,15,33,6,5,6,9
20-Jun-21,93,106,228,49,85,665,5582,105,2009,2195,739,147,147,75,20,40,337,15,143,131,,108,29,50,20,141,274,1,69,58,6,26,34,10
21-Jun-21,47,91,333,41,46,662,5014,119,2719,3252,719,97,162,70,5,9,227,23,111,70,16,280,3,35,19,119,148,6,,6,12,2,7,66
22-Jun-21,63,127,462,89,101,675,3221,141,3432,2439,746,125,245,135,37,40,153,11,151,188,39,298,64,130,23,72,224,36,40,24,37,3,97,
23-Jun-21,156,187,275,90,106,694,4693,103,2910,2595,873,155,227,96,77,84,309,25,115,294,47,146,87,130,33,142,330,21,33,87,37,47,71,33
24-Jun-21,73,181,599,120,141,791,7505,43,3053,4384,945,189,336,172,39,27,459,9,144,206,20,185,26,100,39,121,295,121,,124,10,13,104,
25-Jun-21,103,195,313,68,196,783,6934,152,3846,2118,975,147,352,129,56,,403,7,202,322,36,190,163,151,56,153,274,86,136,85,45,5,172,19
26-Jun-21,81,246,266,126,109,782,9271,68,3787,2305,989,129,428,174,89,,408,6,173,257,23,220,63,126,29,148,365,58,30,148,42,2,106,41
27-Jun-21,59,174,698,103,16,830,9394,48,3988,2288,889,146,470,160,23,,435,19,162,172,8,119,109,93,35,235,223,28,51,151,34,32,114,36
28-Jun-21,104,212,494,102,10,859,8348,46,4771,2143,1081,125,382,106,48,,329,41,199,89,34,208,30,125,50,159,209,24,119,120,12,19,78,18
29-Jun-21,133,238,521,88,110,850,7379,123,3908,2932,1065,219,482,146,55,73,480,82,164,188,38,146,37,135,75,125,288,36,26,137,45,8,125,10
30-Jun-21,98,221,486,159,264,892,7680,107,4473,2335,1203,192,489,188,82,159,421,7,223,452,47,188,68,212,68,197,382,100,,162,35,39,178,
1-Jul-21,92,311,300,248,178,895,7541,101,6179,2624,1397,191,596,256,124,196,397,139,229,549,42,174,100,253,78,206,416,132,218,151,46,101,349,27
2-Jul-21,94,343,302,203,139,922,9399,183,4920,2538,1388,199,661,210,159,107,469,25,243,455,87,119,199,327,98,285,506,201,185,301,25,26,487,25
3-Jul-21,72,272,715,163,140,1358,9702,56,5393,3224,1439,336,622,272,77,113,648,25,246,501,143,149,137,327,100,286,447,125,172,206,30,20,383,14
4-Jul-21,72,355,621,170,190,1615,10485,131,4458,2955,1468,190,738,240,208,,416,9,244,435,94,132,138,176,56,281,463,146,,276,67,64,340,
5-Jul-21,34,401,541,173,100,1465,10903,121,6971,3447,1543,101,428,139,22,147,408,65,172,81,2,135,32,219,77,306,424,68,278,339,44,22,461,76
6-Jul-21,174,424,457,241,201,1386,9439,58,7239,4048,1808,259,726,198,55,207,586,122,255,304,164,256,89,249,107,266,418,117,349,258,15,45,632,37
7-Jul-21,114,505,612,223,227,1370,9366,106,8591,3823,2548,282,757,286,111,162,608,52,358,676,128,189,119,485,118,320,532,218,258,287,69,62,731,86
8-Jul-21,162,577,503,288,264,1424,12974,132,7772,4232,2551,288,979,250,144,124,456,22,296,770,225,275,135,500,157,373,672,125,303,317,101,45,914,41
9-Jul-21,80,674,514,287,101,1665,13112,186,7399,4530,2530,296,1021,216,200,168,725,8,341,718,278,336,124,511,233,383,504,171,210,213,125,34,220,11
10-Jul-21,133,678,569,322,212,1809,12920,134,4926,3618,2237,298,1051,232,202,253,481,214,423,847,223,284,116,573,135,336,738,234,191,190,74,63,353,25
11-Jul-21,67,561,679,263,161,1895,13133,147,6704,2575,2419,241,1134,261,120,282,651,503,388,344,137,282,237,477,184,326,653,184,347,199,89,80,474,
12-Jul-21,36,656,2639,217,147,1731,14619,38,7942,2928,2742,247,1012,303,49,100,580,217,471,368,115,344,34,289,83,430,559,131,217,151,209,3,699,121
13-Jul-21,162,723,4016,516,154,2731,12182,352,7192,3270,6269,746,1498,253,307,169,539,372,778,488,274,811,150,533,328,325,610,173,248,267,209,72,1128,54
14-Jul-21,116,791,3889,508,247,2350,12667,400,10444,5110,7088,779,1658,281,393,251,529,236,760,666,255,896,135,550,264,320,978,161,211,602,357,33,537,55
15-Jul-21,100,843,3994,511,372,2706,12691,388,11101,4360,8230,585,1543,258,493,155,625,370,963,678,380,1127,222,594,308,349,963,199,162,350,318,117,639,63
16-Jul-21,63,885,3680,457,354,1661,12415,303,10730,4188,7832,573,1724,270,345,170,719,241,689,1006,345,937,141,739,233,420,858,152,139,605,292,134,547,153
17-Jul-21,69,1019,3424,486,217,2523,10168,302,9398,5655,6920,511,1667,376,645,348,892,379,770,637,261,1004,176,771,337,448,999,360,78,295,200,76,488,53
18-Jul-21,63,944,3139,309,468,2119,9128,442,7777,4699,5726,358,1514,305,299,284,928,333,556,641,306,814,159,434,251,677,847,84,69,156,135,90,565,102
19-Jul-21,11,837,2166,275,116,1992,5000,207,7287,4042,4423,130,963,123,248,130,704,228,376,740,70,611,123,350,273,650,680,92,215,70,180,62,749,134
20-Jul-21,52,880,2865,283,101,1872,6213,222,6928,3423,5654,403,1178,348,495,286,710,337,596,524,309,903,161,491,215,419,843,85,59,325,260,132,731,22
21-Jul-21,51,1111,1903,286,197,1648,5904,14,5950,4253,3859,186,900,244,229,258,520,208,450,539,261,951,206,233,280,441,453,173,195,235,256,71,1249,58
22-Jul-21,103,1250,3333,528,214,1978,7058,359,10499,5371,6625,475,1952,339,650,405,690,379,806,617,370,1235,137,954,379,424,769,155,75,153,221,151,779,76
23-Jul-21,145,1407,2626,639,444,1431,8033,465,8925,4498,6912,422,1505,348,876,460,912,295,841,753,333,1521,274,1286,497,445,1008,181,121,239,325,77,807,20
24-Jul-21,212,1057,2328,594,259,1628,8360,396,7587,5465,5699,287,2106,380,690,370,692,114,815,428,246,1276,226,815,388,499,1215,82,92,125,261,141,509,74
25-Jul-21,200,990,1619,626,275,2145,5393,192,5302,5265,4763,364,1693,450,619,427,599,127,388,752,507,1031,311,880,278,399,1032,268,104,275,189,102,1080,34
26-Jul-21,160,1078,883,252,267,2667,2662,105,4368,4021,3157,132,944,424,195,210,473,136,366,614,191,1028,114,657,415,449,1137,179,51,73,351,100,320,49
27-Jul-21,226,1314,1610,709,274,2732,3567,226,8589,5187,6337,427,2009,254,517,457,656,207,1020,894,479,1408,258,954,620,581,1428,136,113,186,351,146,1244,87
28-Jul-21,237,1452,1642,632,383,2282,5525,567,8366,4666,6422,487,2129,416,862,581,690,287,1249,863,339,1588,233,1145,819,517,1276,195,87,116,338,79,1127,194
29-Jul-21,231,1119,1464,595,365,1920,3845,385,7519,4535,5506,397,1540,379,913,493,516,326,1278,1036,562,1588,232,1359,804,687,2096,110,68,328,325,99,781,78
30-Jul-21,240,1365,1209,598,399,1932,3454,374,6912,4502,5210,431,2364,247,958,508,539,342,1002,873,452,1425,121,1082,643,569,1667,156,49,184,330,123,722,186
31-Jul-21,228,1280,1366,580,520,1522,3327,300,4204,4896,4697,456,1660,446,720,554,497,383,893,886,708,1417,162,1268,418,678,1626,22,43,328,264,169,647,119
1-Aug-21,204,1146,1325,449,311,1303,2701,414,2769,4234,3671,569,1716,309,665,527,366,260,547,718,293,1179,125,796,633,581,1202,22,33,243,187,154,886,200
2-Aug-21,62,1044,1060,344,314,1566,1410,63,2341,3218,2489,170,1086,285,470,254,406,150,184,983,126,651,135,540,543,472,1077,35,51,118,173,80,410,94
3-Aug-21,259,1408,1368,831,331,1445,1601,435,4301,4331,4113,477,1419,293,744,475,575,247,724,1157,364,1434,255,1131,827,599,1254,49,58,209,325,116,608,137
4-Aug-21,351,1362,976,857,397,1862,2981,387,3994,4169,4030,681,2222,265,733,632,503,249,695,942,196,1656,189,1243,665,717,1464,43,18,157,254,169,530,278
5-Aug-21,285,1470,964,802,248,1461,2311,352,4718,4252,4074,526,2083,352,876,599,445,217,786,856,473,1556,218,1197,838,680,860,110,46,270,301,174,1136,228
6-Aug-21,383,1239,1003,862,402,1639,2186,369,4580,3022,4490,423,1815,286,906,509,512,201,897,925,621,2045,201,1166,1566,696,2205,189,13,71,212,143,3598,157
7-Aug-21,343,1027,810,625,231,1378,2008,320,3004,5340,3438,363,1786,340,908,454,320,272,613,831,524,1405,241,832,803,437,1251,176,37,140,217,88,1027,164
8-Aug-21,285,1184,450,476,107,1194,1649,261,2248,4693,2537,223,1576,294,817,329,281,213,394,778,510,1406,102,735,843,497,1154,132,5,68,94,55,721,104
9-Aug-21,152,1018,337,216,221,733,727,28,2422,4210,1965,65,1070,344,559,327,307,278,203,390,130,1035,89,807,428,367,784,46,77,408,135,62,636,133
10-Aug-21,379,1411,842,689,120,1487,1425,453,4163,4560,3618,360,1546,348,578,505,310,226,610,501,173,1753,132,963,966,494,1235,97,171,418,205,224,912,207
11-Aug-21,385,1270,675,502,206,1510,1957,457,3174,4980,2885,386,1843,320,687,536,275,227,551,630,281,1472,90,1027,915,430,1174,36,42,341,175,220,867,99
12-Aug-21,181,1353,395,395,117,1083,1078,100,1868,5300,3161,327,1176,309,462,332,233,194,273,545,507,1314,91,698,649,372,704,61,28,227,224,121,716,115
13-Aug-21,411,1910,713,660,197,1243,1210,400,2968,4223,4178,562,1451,469,811,336,278,378,703,590,295,1284,130,1087,998,467,1070,77,55,139,241,222,885,147
14-Aug-21,397,1795,605,553,265,1788,1363,414,2164,4560,3232,493,1168,396,856,365,247,248,405,609,346,1452,104,1018,882,468,1070,51,18,99,178,171,649,169
15-Aug-21,310,1071,406,311,77,933,1182,376,1299,4144,1725,334,776,482,616,419,212,207,211,562,233,1246,136,641,674,382,936,14,4,68,152,100,498,76
16-Aug-21,341,888,208,235,75,702,513,173,2095,3803,1559,220,633,475,574,187,201,249,237,151,185,821,86,336,526,375,609,49,64,26,197,66,438,87
17-Aug-21,390,988,402,337,110,1106,655,350,1643,3263,2346,407,923,337,669,495,284,201,370,268,172,1172,85,476,891,367,819,41,23,42,234,156,657,62
18-Aug-21,383,734,210,276,28,634,1029,121,1377,1072,1499,180,638,225,445,170,178,137,117,432,250,869,62,493,450,229,589,18,22,85,154,54,527,81
19-Aug-21,355,1032,395,452,129,1175,731,357,3266,1428,3019,468,1100,302,791,416,183,219,305,291,168,1129,156,892,833,375,835,42,13,84,200,99,714,99
20-Aug-21,459,1039,449,440,98,820,968,325,2742,3432,2508,391,921,244,644,358,203,199,263,390,231,1481,62,685,595,371,764,18,17,53,136,89,491,118
21-Aug-21,382,849,374,393,71,930,891,321,1747,1236,2122,265,657,179,705,241,203,134,236,532,215,1189,58,551,546,319,610,35,11,22,187,109,377,47
22-Aug-21,334,583,214,301,113,783,702,198,1192,822,1301,245,599,290,410,183,19,195,175,330,253,1002,53,411,318,243,568,16,7,9,74,83,295,87
23-Aug-21,229,434,124,191,55,507,485,62,1483,798,1073,182,487,179,297,181,82,155,278,80,58,514,70,179,331,250,357,73,10,23,101,14,223,39
24-Aug-21,354,934,360,469,38,748,484,159,5255,1242,1700,283,791,227,519,242,120,198,273,390,183,1135,84,550,573,229,563,49,10,42,152,103,585,62
25-Aug-21,368,746,355,388,75,873,789,274,5464,813,1619,339,865,186,466,284,84,202,167,380,243,1020,102,565,503,289,509,44,33,55,114,44,365,48
26-Aug-21,361,565,239,345,91,795,577,161,5058,811,1351,317,637,168,473,208,136,143,210,483,203,975,57,448,471,204,555,55,8,136,150,65,383,60
27-Aug-21,388,558,266,312,74,688,635,129,1349,1069,1409,267,523,182,253,367,114,191,156,316,129,1056,59,382,375,226,518,58,9,41,115,25,324,55
28-Aug-21,307,474,216,285,51,525,468,165,956,749,1079,210,462,137,358,305,99,81,115,294,118,741,26,374,320,248,371,27,3,8,109,60,259,50
29-Aug-21,335,302,177,230,40,398,474,109,624,517,666,198,331,160,169,40,91,78,87,215,72,653,27,210,204,163,436,36,2,14,73,48,213,35
30-Aug-21,190,305,101,153,12,237,341,56,506,508,640,89,343,87,83,148,84,84,57,35,47,350,15,105,194,117,244,12,15,22,70,24,147,15
31-Aug-21,327,376,265,348,49,539,399,113,1127,635,1323,230,548,148,371,244,78,119,102,239,175,792,38,389,340,243,437,41,7,38,104,47,264,39
1-Sep-21,310,399,178,298,27,470,673,133,1254,957,1122,295,537,122,256,188,82,123,87,202,207,731,29,297,244,179,342,6,17,176,139,41,188,28
2-Sep-21,323,329,172,278,25,384,430,98,791,1134,853,268,503,103,292,187,83,104,82,146,112,701,24,267,285,149,311,14,6,50,94,59,263,35
3-Sep-21,339,394,137,251,51,353,343,107,845,727,771,182,366,93,287,169,107,98,94,186,80,566,28,238,231,119,299,9,9,29,56,25,181,27
4-Sep-21,232,348,154,241,74,279,360,116,545,512,614,270,324,83,262,119,76,81,80,127,92,520,32,248,281,111,214,4,5,24,77,32,182,8
5-Sep-21,262,251,108,158,35,260,303,72,355,625,448,150,293,93,178,124,47,69,90,120,71,393,3,141,145,136,182,9,1,59,61,25,108,28
6-Sep-21,164,208,104,154,19,198,217,40,405,751,361,78,189,68,92,79,81,50,56,42,52,191,5,109,183,130,148,7,19,21,38,15,131,8
7-Sep-21,279,295,87,297,57,252,262,54,778,964,675,254,400,102,233,73,67,87,105,135,105,448,35,234,186,107,224,9,12,44,99,22,182,38
8-Sep-21,252,298,109,236,28,213,428,72,690,710,613,190,358,56,165,157,80,70,67,132,159,459,28,240,171,121,217,2,6,41,106,31,174,52
9-Sep-21,230,256,134,230,29,183,308,70,517,534,508,268,273,113,241,192,52,73,108,132,114,431,11,183,160,130,194,7,5,25,48,36,151,44
10-Sep-21,250,253,78,146,23,212,261,53,540,505,515,151,242,77,169,205,64,89,83,126,95,350,21,180,163,100,162,6,8,8,43,22,163,13
11-Sep-21,207,227,85,198,28,180,268,63,446,295,547,271,240,72,146,95,55,74,79,129,90,374,23,147,160,92,155,6,3,11,63,17,147,8
12-Sep-21,125,152,54,124,9,146,306,48,567,168,367,120,166,38,96,159,37,62,57,95,33,281,18,83,84,65,152,7,3,9,31,19,91,7
13-Sep-21,133,122,61,80,5,83,187,14,210,353,318,35,92,41,26,76,63,26,71,18,13,128,9,69,85,69,85,3,1,7,28,11,66,9
14-Sep-21,143,247,100,161,22,144,190,45,318,339,497,135,215,80,87,14,34,57,62,98,50,308,9,159,137,80,152,3,9,7,42,21,141,22
15-Sep-21,135,182,54,139,11,174,305,40,384,332,436,147,166,53,95,116,78,50,45,84,37,250,10,154,85,73,103,7,5,7,35,24,85,27
16-Sep-21,139,117,41,99,5,111,176,23,346,293,335,90,103,36,113,101,46,38,44,88,54,215,4,125,69,71,94,6,9,21,28,16,71,18
17-Sep-21,161,218,53,130,16,131,206,61,328,265,427,118,233,63,114,55,47,50,49,119,53,254,13,124,124,63,127,10,6,4,38,16,152,7
18-Sep-21,159,155,81,110,15,134,200,27,238,298,314,134,175,48,98,82,34,54,61,63,55,232,10,96,143,75,93,8,4,11,67,10,88,13
19-Sep-21,111,115,69,60,7,106,155,27,170,219,234,53,84,41,35,67,21,30,28,32,44,145,5,78,61,54,61,0,2,3,34,17,60,6
20-Sep-21,64,99,33,79,10,83,91,17,116,332,142,41,104,34,50,70,29,12,24,10,17,123,3,20,54,46,140,1,2,3,20,12,49,2
21-Sep-21,164,173,84,89,2,95,106,18,285,245,316,154,192,40,72,81,25,34,55,83,49,315,6,109,108,57,111,13,14,36,38,17,74,3
22-Sep-21,122,132,77,81,4,105,227,27,211,190,295,113,140,52,53,18,44,37,25,32,31,185,9,100,117,48,83,4,0,13,32,14,71,28
23-Sep-21,70,138,73,90,8,100,165,27,243,333,220,83,130,41,83,77,42,44,29,87,49,129,4,106,111,52,85,1,37,33,44,16,88,43
24-Sep-21,85,117,68,51,10,85,181,28,217,286,219,68,141,50,62,87,25,24,32,68,43,157,1,83,70,43,94,3,8,12,39,11,72,17
25-Sep-21,88,105,44,59,14,96,133,10,188,309,215,41,78,39,48,32,20,23,21,44,22,108,9,100,53,37,57,5,3,8,44,8,64,12
26-Sep-21,44,85,47,51,6,61,168,23,157,176,170,26,76,31,26,68,17,16,19,30,31,93,6,46,106,51,54,3,5,1,23,13,25,6
27-Sep-21,63,67,24,36,1,60,103,11,149,185,92,18,74,35,21,64,26,11,18,15,11,52,1,30,78,27,43,1,0,6,21,4,35,8
28-Sep-21,42,92,44,61,7,71,104,31,205,308,179,85,68,25,40,55,7,36,26,45,35,105,2,66,61,35,89,8,2,7,41,16,58,1
29-Sep-21,62,88,47,59,1,75,177,19,139,199,225,94,91,36,29,57,23,21,19,26,27,83,14,50,22,39,61,2,10,7,23,23,55,1
30-Sep-21,40,86,59,62,2,67,149,18,161,144,195,33,60,34,40,47,13,28,30,50,27,75,5,62,43,31,42,2,4,1,15,10,52,3
